[Time:       30] [Episode:      100 Length       36 Score:     0.1098] [RScore:     0.2704 RPPS:   258] [PPS:   259 TPS:    59] [NT:  4 NP:  4 NA: 64]
[Time:       31] [Episode:      101 Length      118 Score:    11.1583] [RScore:     0.3782 RPPS:   261] [PPS:   262 TPS:    59] [NT:  4 NP:  4 NA: 64]
[Time:       31] [Episode:      102 Length       93 Score:     8.4732] [RScore:     0.4576 RPPS:   264] [PPS:   265 TPS:    59] [NT:  4 NP:  4 NA: 64]
[Time:       31] [Episode:      103 Length       22 Score:    -0.0474] [RScore:     0.4527 RPPS:   264] [PPS:   265 TPS:    59] [NT:  4 NP:  4 NA: 64]
[Time:       31] [Episode:      104 Length      135 Score:     4.0953] [RScore:     0.4877 RPPS:   268] [PPS:   269 TPS:    59] [NT:  4 NP:  4 NA: 64]
[Time:       31] [Episode:      105 Length       75 Score:     5.3174] [RScore:     0.5337 RPPS:   271] [PPS:   272 TPS:    59] [NT:  4 NP:  4 NA: 64]
[Time:       31] [Episode:      106 Length       54 Score:     5.0810] [RScore:     0.5766 RPPS:   272] [PPS:   273 TPS:    59] [NT:  4 NP:  4 NA: 64]
[Time:       31] [Episode:      107 Length       42 Score:     4.1742] [RScore:     0.6102 RPPS:   272] [PPS:   273 TPS:    59] [NT:  4 NP:  4 NA: 64]
[Time:       31] [Episode:      108 Length       18 Score:    -0.3346] [RScore:     0.6015 RPPS:   272] [PPS:   273 TPS:    60] [NT:  4 NP:  4 NA: 64]
[Time:       31] [Episode:      109 Length       33 Score:    -0.2137] [RScore:     0.5940 RPPS:   272] [PPS:   273 TPS:    60] [NT:  4 NP:  4 NA: 64]
[Time:       31] [Episode:      110 Length       63 Score:     4.4463] [RScore:     0.6290 RPPS:   274] [PPS:   275 TPS:    60] [NT:  4 NP:  4 NA: 64]
[Time:       31] [Episode:      111 Length      166 Score:    12.7447] [RScore:     0.7382 RPPS:   278] [PPS:   279 TPS:    60] [NT:  4 NP:  4 NA: 64]
[Time:       31] [Episode:      112 Length      108 Score:    11.0190] [RScore:     0.8299 RPPS:   282] [PPS:   283 TPS:    60] [NT:  4 NP:  4 NA: 64]
[Time:       31] [Episode:      113 Length       78 Score:     6.8721] [RScore:     0.8834 RPPS:   283] [PPS:   284 TPS:    60] [NT:  4 NP:  4 NA: 64]
[Time:       31] [Episode:      114 Length      191 Score:    10.9906] [RScore:     0.9721 RPPS:   287] [PPS:   288 TPS:    60] [NT:  4 NP:  4 NA: 64]
[Time:       32] [Episode:      115 Length       56 Score:     1.7027] [RScore:     0.9784 RPPS:   289] [PPS:   290 TPS:    60] [NT:  4 NP:  4 NA: 64]
[Time:       32] [Episode:      116 Length       69 Score:     3.0237] [RScore:     0.9961 RPPS:   290] [PPS:   291 TPS:    60] [NT:  4 NP:  4 NA: 64]
[Time:       32] [Episode:      117 Length      129 Score:    10.7617] [RScore:     1.0795 RPPS:   293] [PPS:   294 TPS:    60] [NT:  4 NP:  4 NA: 64]
[Time:       32] [Episode:      118 Length       38 Score:     0.5561] [RScore:     1.0751 RPPS:   294] [PPS:   295 TPS:    60] [NT:  4 NP:  4 NA: 64]
[Time:       32] [Episode:      119 Length       16 Score:    -0.1832] [RScore:     1.0645 RPPS:   292] [PPS:   293 TPS:    60] [NT:  4 NP:  5 NA: 64]
[Time:       32] [Episode:      120 Length      136 Score:    12.6938] [RScore:     1.1614 RPPS:   295] [PPS:   296 TPS:    60] [NT:  4 NP:  5 NA: 64]
[Time:       32] [Episode:      121 Length       35 Score:     2.6110] [RScore:     1.1734 RPPS:   296] [PPS:   297 TPS:    60] [NT:  4 NP:  5 NA: 64]
[Time:       32] [Episode:      122 Length       21 Score:     0.9570] [RScore:     1.1716 RPPS:   296] [PPS:   297 TPS:    60] [NT:  4 NP:  5 NA: 64]
[Time:       32] [Episode:      123 Length       40 Score:     2.7521] [RScore:     1.1845 RPPS:   297] [PPS:   298 TPS:    60] [NT:  4 NP:  5 NA: 64]
[Time:       32] [Episode:      124 Length       47 Score:     1.0892] [RScore:     1.1837 RPPS:   298] [PPS:   299 TPS:    60] [NT:  4 NP:  5 NA: 64]
[Time:       32] [Episode:      125 Length       82 Score:     1.0499] [RScore:     1.1826 RPPS:   299] [PPS:   300 TPS:    60] [NT:  4 NP:  5 NA: 64]
[Time:       33] [Episode:      126 Length       36 Score:     2.6321] [RScore:     1.1941 RPPS:   298] [PPS:   299 TPS:    60] [NT:  4 NP:  5 NA: 64]
[Time:       33] [Episode:      127 Length      204 Score:    20.1528] [RScore:     1.3434 RPPS:   297] [PPS:   298 TPS:    60] [NT:  4 NP:  5 NA: 64]
[Time:       33] [Episode:      128 Length      120 Score:    10.3940] [RScore:     1.4141 RPPS:   301] [PPS:   302 TPS:    60] [NT:  4 NP:  5 NA: 64]
[Time:       33] [Episode:      129 Length        9 Score:     0.0874] [RScore:     1.4039 RPPS:   301] [PPS:   302 TPS:    60] [NT:  4 NP:  5 NA: 64]
[Time:       34] [Episode:      130 Length        2 Score:    -0.0122] [RScore:     1.3930 RPPS:   301] [PPS:   302 TPS:    60] [NT:  4 NP:  5 NA: 64]
[Time:       34] [Episode:      131 Length       81 Score:     4.2880] [RScore:     1.4151 RPPS:   302] [PPS:   303 TPS:    60] [NT:  4 NP:  5 NA: 64]
[Time:       34] [Episode:      132 Length       18 Score:     1.0924] [RScore:     1.4126 RPPS:   301] [PPS:   302 TPS:    60] [NT:  4 NP:  5 NA: 64]
[Time:       34] [Episode:      133 Length       44 Score:     3.6472] [RScore:     1.4294 RPPS:   302] [PPS:   303 TPS:    60] [NT:  4 NP:  5 NA: 64]
[Time:       34] [Episode:      134 Length       59 Score:     4.9007] [RScore:     1.4553 RPPS:   303] [PPS:   304 TPS:    60] [NT:  4 NP:  5 NA: 64]
